index	title	subtitle	asset_id	link
801	A True and Exact Draught of the Tower Liberties	George Vertue, after William Hayward and John Gascoyne	qwFtfThyyZrDcw	https://artsandculture.google.com/asset/a-true-and-exact-draught-of-the-tower-liberties-george-vertue-after-william-hayward-and-john-gascoyne/qwFtfThyyZrDcw
800	Designs for Guard Boxes	Ministry of Public Buildings and Works	ogEr3ThI9PJvTQ	https://artsandculture.google.com/asset/designs-for-guard-boxes-ministry-of-public-buildings-and-works/ogEr3ThI9PJvTQ
799	Design for Showcase for the Crown Jewels	H.M. Office of Works	2gGHh2HmPic0Pw	https://artsandculture.google.com/asset/design-for-showcase-for-the-crown-jewels-h-m-office-of-works/2gGHh2HmPic0Pw
798	Suggested New Tea House and Alterations to Offices	H.M. Office of Works	VwGyxPtGHqbLZg	https://artsandculture.google.com/asset/suggested-new-tea-house-and-alterations-to-offices-h-m-office-of-works/VwGyxPtGHqbLZg
797	The Flamsteed Tower	H.M. Office of Works	FAGA9L5GXi4Fag	https://artsandculture.google.com/asset/the-flamsteed-tower-h-m-office-of-works/FAGA9L5GXi4Fag
796	Plan Showing Air Raid Damage	H.M. Office of Works	0gEYZgBB1HsbBg	https://artsandculture.google.com/asset/plan-showing-air-raid-damage-h-m-office-of-works/0gEYZgBB1HsbBg
795	The Main Guard - Record Survey	Corps of Royal Engineers	XwHemBJm5HL-oA	https://artsandculture.google.com/asset/the-main-guard-record-survey-corps-of-royal-engineers/XwHemBJm5HL-oA
794	Baghdad Café (The Coffee Shop)	FAISEL LAIBI SAHI	7QE-lfK81VXiSQ	https://artsandculture.google.com/asset/baghdad-caf%C3%A9-the-coffee-shop-faisel-laibi-sahi/7QE-lfK81VXiSQ
793	[Exlibris of Enrique Herrero	Unknown	9QHva4k-YFepzw	https://artsandculture.google.com/asset/exlibris-of-enrique-herrero-unknown/9QHva4k-YFepzw
792	[Exlibris of Agustín Pedro Justo	Unknown	QgFMl1T1rEu7QQ	https://artsandculture.google.com/asset/exlibris-of-agust%C3%ADn-pedro-justo-unknown/QgFMl1T1rEu7QQ
791	"Associazione Archivio Storico Olivetti - Olivetti ""M1"" typewriter poster"	Designed by Teodoro Wolf Ferrari	NwHfp9Ur0FkCpQ	https://artsandculture.google.com/asset/associazione-archivio-storico-olivetti-olivetti-m1-typewriter-poster-designed-by-teodoro-wolf-ferrari/NwHfp9Ur0FkCpQ
790	Jacob Meydenbach, Ortus Sanitatis		dgGLEthnw7Uppg	https://artsandculture.google.com/asset/jacob-meydenbach-ortus-sanitatis/dgGLEthnw7Uppg
789	History of Hertford House	N/A	mwFlwiWl_1JhUQ	https://artsandculture.google.com/asset/history-of-hertford-house-n-a/mwFlwiWl_1JhUQ
788	Out and About on the Central Line		wgG1AVC30reR7w	https://artsandculture.google.com/asset/out-and-about-on-the-central-line/wgG1AVC30reR7w
787	The Coronation Processional Way		EwElmicMQNS53w	https://artsandculture.google.com/asset/the-coronation-processional-way/EwElmicMQNS53w
786	Festival of Britain 1951 Map	London Transport Executive	MwG37On4qeA6yg	https://artsandculture.google.com/asset/festival-of-britain-1951-map-london-transport-executive/MwG37On4qeA6yg
785	Map of British Empire Exhibition 1924		dQEOJQ9q8ptKAg	https://artsandculture.google.com/asset/map-of-british-empire-exhibition-1924/dQEOJQ9q8ptKAg
784	Cartoon: The Lock Nescalator	Harry Beck	twGLafIn5m5_GA	https://artsandculture.google.com/asset/cartoon-the-lock-nescalator-harry-beck/twGLafIn5m5_GA
783	"Cartoon: ""This Flat to Let"""	Harry Beck	qgFx-TqmHt_LSg	https://artsandculture.google.com/asset/cartoon-this-flat-to-let-harry-beck/qgFx-TqmHt_LSg
782	Train Omnibus Tram (TOT): Our New Cover		BQFkx8MI8GHx4w	https://artsandculture.google.com/asset/train-omnibus-tram-tot-our-new-cover/BQFkx8MI8GHx4w
781	Map of the East Indian Railway, Showing the Line proposed to be constructed to connect Culcutta with the North West Provinces and the intermediate Civil & Military Stations, to accompany the report of the Managing Director of the East Indian Railway, 1849	Unknown	5gHbd9RvOtqzGg	https://artsandculture.google.com/asset/map-of-the-east-indian-railway-showing-the-line-proposed-to-be-constructed-to-connect-culcutta-with-the-north-west-provinces-and-the-intermediate-civil-military-stations-to-accompany-the-report-of-the-managing-director-of-the-east-indian-railway-1849-unknown/5gHbd9RvOtqzGg
780	Map of the East Indian Railway	George Stephenson	6wGzjsBFkrWiUA	https://artsandculture.google.com/asset/map-of-the-east-indian-railway-george-stephenson/6wGzjsBFkrWiUA
779	Northern India – Mughal Empire	William Baffin	UwFtHwLnHQnzdQ	https://artsandculture.google.com/asset/northern-india-%E2%80%93-mughal-empire-william-baffin/UwFtHwLnHQnzdQ
778	India and the Silk Road, 3 sheets from the wall map Quattro Parte Del Mondo	Giovanni Francesco Camocio	iQHH4sxQNbaX6w	https://artsandculture.google.com/asset/india-and-the-silk-road-3-sheets-from-the-wall-map-quattro-parte-del-mondo-giovanni-francesco-camocio/iQHH4sxQNbaX6w
777	India	Jacobo Gastaldi	lgGEC_F9SCGsmA	https://artsandculture.google.com/asset/india-jacobo-gastaldi/lgGEC_F9SCGsmA
776	Views of Kozhikode and Kannur, Kerala with Hormuz, Iran and Elmina, Ghana	Georg Braun	ZwGI8_vPDqpWUA	https://artsandculture.google.com/asset/views-of-kozhikode-and-kannur-kerala-with-hormuz-iran-and-elmina-ghana-georg-braun/ZwGI8_vPDqpWUA
775	India and East Asia	Lorenz Fries	uAEG5XNWCcaDIA	https://artsandculture.google.com/asset/india-and-east-asia-lorenz-fries/uAEG5XNWCcaDIA
774	Ptolemaic India	Bernardus Sylvanus, after Claudius Ptolemy (c. 90 - c.168 AD).	SQF8lvV0tJA8yg	https://artsandculture.google.com/asset/ptolemaic-india-bernardus-sylvanus-after-claudius-ptolemy-c-90-c-168-ad/SQF8lvV0tJA8yg
773	Cuddalore, Tamil Nadu	Jean-claude Dezauche	KgGabCYhs3QDnA	https://artsandculture.google.com/asset/cuddalore-tamil-nadu-jean-claude-dezauche/KgGabCYhs3QDnA
772	Chennai (formerly Madras), Tamil Nadu	Louis Paradis de la Roche	dwG7Xv2QTET5vA	https://artsandculture.google.com/asset/chennai-formerly-madras-tamil-nadu-louis-paradis-de-la-roche/dwG7Xv2QTET5vA
771	Buddhist Map of the World: ‘Outline Map of All Countries of the Universe	Zuda Rokashi (Priest Hotan)	pQHZVGGNlR3gLg	https://artsandculture.google.com/asset/buddhist-map-of-the-world-%E2%80%98outline-map-of-all-countries-of-the-universe-zuda-rokashi-priest-hotan/pQHZVGGNlR3gLg
770	Plan of the Shrinathji Temple at Nathdwara		WQHXmoYQ-iz9Ww	https://artsandculture.google.com/asset/plan-of-the-shrinathji-temple-at-nathdwara/WQHXmoYQ-iz9Ww
769	Pilgrimage Maps of Shatrunjaya		jgGzET0YkgEkyQ	https://artsandculture.google.com/asset/pilgrimage-maps-of-shatrunjaya/jgGzET0YkgEkyQ
768	Pilgrimage Maps of Shatrunjaya		UAFy2gDE19tElg	https://artsandculture.google.com/asset/pilgrimage-maps-of-shatrunjaya/UAFy2gDE19tElg
767	Map of the Ganges	Rajasthani Artist	jwGLNWnpG51vBQ	https://artsandculture.google.com/asset/map-of-the-ganges-rajasthani-artist/jwGLNWnpG51vBQ
766	Indian Cosmography		_wEP6RWFVERJeg	https://artsandculture.google.com/asset/indian-cosmography/_wEP6RWFVERJeg
765	Cosmic Map of the Mortal World as Two and a Half Continents_ Rajasthan, 18th Century.		pgGHxSbOH5o9Rg	https://artsandculture.google.com/asset/cosmic-map-of-the-mortal-world-as-two-and-a-half-continents-rajasthan-18th-century/pgGHxSbOH5o9Rg
764	Cosmic Map of the Mortal World as Two and a Half Continents_ Rajasthan, mid-17th Century		4QHeXtjzPbMTSg	https://artsandculture.google.com/asset/cosmic-map-of-the-mortal-world-as-two-and-a-half-continents-rajasthan-mid-17th-century/4QHeXtjzPbMTSg
763	Town Krainburg (Kranj)	Joseph Wagner	jwGK5mDk9Dh6mA	https://artsandculture.google.com/asset/town-krainburg-kranj-joseph-wagner/jwGK5mDk9Dh6mA
762	Town Radkersburg (Radgona)	Ferdinand Runk	5gFrDk-phLG6Gw	https://artsandculture.google.com/asset/town-radkersburg-radgona-ferdinand-runk/5gFrDk-phLG6Gw
