index	title	original_title	creator	creator_lifespan	creator_nationality	date_created	location_created	medium	object_type	aspect_ratio	aspect_ratio_standard	orientation	master_width_px	master_height_px	megapixels	focal_anchors_count	physical_dimensions_raw	parsed_height_cm	parsed_width_cm	parsed_depth_cm	resolution_density_dpi	partner_name	partner_city_country	partner_website	partner_lat	partner_long	inventory_number	external_catalog_url	rights	art_movements	tags_and_topics	dominant_color	wikidata_qid	wikipedia_url	commons_image_url	asset_id	link
801	A True and Exact Draught of the Tower Liberties		George Vertue, after William Hayward and John Gascoyne			1742	Tower of London		Architectural drawing	1.3179	4:3 (Standard)	Landscape										Historic Royal Palaces	United Kingdom	https://www.hrp.org.uk/			3000004		© Historic Royal Palaces		Drawing, England, London, London Borough of Tower Hamlets, Tower of London, United Kingdom	#cdbaa1				qwFtfThyyZrDcw	https://artsandculture.google.com/asset/a-true-and-exact-draught-of-the-tower-liberties-george-vertue-after-william-hayward-and-john-gascoyne/qwFtfThyyZrDcw
800	Designs for Guard Boxes		Ministry of Public Buildings and Works			1969	Tower of London		Architectural drawing	1.0692	1.07:1	Landscape										Historic Royal Palaces	United Kingdom	https://www.hrp.org.uk/			EH/TOL/301B		© Historic Royal Palaces. Reproduced by permission of Historic Royal Palaces under licence from The National Archives.		Architecture, Drawing, England, Graphite, London, Tower of London, United Kingdom	#eeebe0				ogEr3ThI9PJvTQ	https://artsandculture.google.com/asset/designs-for-guard-boxes-ministry-of-public-buildings-and-works/ogEr3ThI9PJvTQ
799	Design for Showcase for the Crown Jewels		H.M. Office of Works			1909	Tower of London		Architectural drawing	0.7447	3:4 (Portrait)	Portrait										Historic Royal Palaces	United Kingdom	https://www.hrp.org.uk/			EH/TOL/1587		© Historic Royal Palaces. Reproduced by permission of Historic Royal Palaces under licence from The National Archives.		Drawing, England, Ink, London, Tower of London, United Kingdom	#cfc8b5				2gGHh2HmPic0Pw	https://artsandculture.google.com/asset/design-for-showcase-for-the-crown-jewels-h-m-office-of-works/2gGHh2HmPic0Pw
798	Suggested New Tea House and Alterations to Offices		H.M. Office of Works			1914	Tower of London		Architectural drawing	1.3471	4:3 (Standard)	Landscape										Historic Royal Palaces	United Kingdom	https://www.hrp.org.uk/			EH/TOL/2681		© Historic Royal Palaces. Reproduced by permission of Historic Royal Palaces under licence from The National Archives.		Architecture, Drawing, England, London, London Borough of Tower Hamlets, Tea, Tower of London, United Kingdom	#d3c9b3				VwGyxPtGHqbLZg	https://artsandculture.google.com/asset/suggested-new-tea-house-and-alterations-to-offices-h-m-office-of-works/VwGyxPtGHqbLZg
797	The Flamsteed Tower		H.M. Office of Works			1914	Tower of London		Architectural drawing	0.6718	2:3 (Portrait)	Portrait										Historic Royal Palaces	United Kingdom	https://www.hrp.org.uk/			EH/TOL/2382		© Historic Royal Palaces. Reproduced by permission of Historic Royal Palaces under licence from The National Archives.		Architecture, Drawing, England, Gold, Gold leaf, Ink, London, Metal, Tower, Tower of London, United Kingdom	#ede5d0				FAGA9L5GXi4Fag	https://artsandculture.google.com/asset/the-flamsteed-tower-h-m-office-of-works/FAGA9L5GXi4Fag
796	Plan Showing Air Raid Damage		H.M. Office of Works			1940	Tower of London		Architectural drawing	1.2663	1.27:1	Landscape										Historic Royal Palaces	United Kingdom	https://www.hrp.org.uk/			EH/TOL/2848		© Historic Royal Palaces. Reproduced by permission of Historic Royal Palaces under licence from The National Archives.		Drawing, England, London, London Borough of Tower Hamlets, Plan, Tower of London, United Kingdom	#d8c9ab				0gEYZgBB1HsbBg	https://artsandculture.google.com/asset/plan-showing-air-raid-damage-h-m-office-of-works/0gEYZgBB1HsbBg
795	The Main Guard - Record Survey		Corps of Royal Engineers			1902	Tower of London		Architectural drawing	1.4479	1.45:1	Landscape										Historic Royal Palaces	United Kingdom	https://www.hrp.org.uk/			EH/TOL/1401		© Historic Royal Palaces. Reproduced by permission of Historic Royal Palaces under licence from The National Archives.		Architecture, Drawing, England, London, London Borough of Tower Hamlets, Tower of London, United Kingdom	#d7cbb6				XwHemBJm5HL-oA	https://artsandculture.google.com/asset/the-main-guard-record-survey-corps-of-royal-engineers/XwHemBJm5HL-oA
794	Baghdad Café (The Coffee Shop)		FAISEL LAIBI SAHI			2016	Iraq	Acrylic on canvas	Painting	3.0411	3.04:1	Panoramic (Landscape)	9847	3238	31.88	2	206 x 616 cm	206.0	616.0		40.6	Dalloul Art Foundation	Beirut, Lebanon	https://dafbeirut.org/	33.891405	35.475948		https://dafbeirut.org/en/faisel-laibi-sahi/works/481-234271-baghdad-cafe-the-coffee-shop			Acrylic paint, Coffee, Iraq	#bfba9e				7QE-lfK81VXiSQ	https://artsandculture.google.com/asset/baghdad-caf%C3%A9-the-coffee-shop-faisel-laibi-sahi/7QE-lfK81VXiSQ
793	[Exlibris of Enrique Herrero		Unknown				Unknown		Document	0.6429	2:3 (Portrait)	Portrait										National Library of Peru	Lima, Peru	https://www.bnp.gob.pe/	-12.087743	-77.005069		BNP Digital Library				#d1c4bb				9QHva4k-YFepzw	https://artsandculture.google.com/asset/exlibris-of-enrique-herrero-unknown/9QHva4k-YFepzw
792	[Exlibris of Agustín Pedro Justo		Unknown				Unknown		Document	0.8417	0.84:1	Portrait	3579	4252	15.22	4						National Library of Peru	Lima, Peru	https://www.bnp.gob.pe/	-12.087743	-77.005069		BNP Digital Library				#c5cccd				QgFMl1T1rEu7QQ	https://artsandculture.google.com/asset/exlibris-of-agust%C3%ADn-pedro-justo-unknown/QgFMl1T1rEu7QQ
